,latitude,longitude,demanda,cluster,cluster_name
0,-12.1467113820949,-77.0202890877398,0,clust_7,520
1,-12.1334213058485,-77.0162217691541,70,6,clust_7
2,-12.133580282169,-77.0138352736831,90,6,clust_7
3,-12.1467256811787,-77.022282926568,30,6,clust_7
4,-12.1417003125525,-77.019410057824,30,6,clust_7
5,-12.1556164320378,-77.0215898752213,35,6,clust_7
6,-12.1483040526619,-77.0202727516943,30,6,clust_7
7,-12.155567595942,-77.0215016975999,20,6,clust_7
8,-12.1458148956412,-77.0213584509464,30,6,clust_7
9,-12.1463185642028,-77.0219939668449,25,6,clust_7
10,-12.1503868047261,-77.0204590727361,30,6,clust_7
11,-12.1501630079114,-77.0205951948436,20,6,clust_7
12,-12.1551468482336,-77.0210831100481,20,6,clust_7
13,-12.1467113820949,-77.0202890877398,20,6,clust_7
14,-12.1547413140632,-77.0208428800106,15,6,clust_7
15,-12.1414116332943,-77.0220304280519,15,6,clust_7
16,-12.146917744551,-77.0223338530185,20,6,clust_7
17,-12.1373636959763,-77.0208936514278,20,6,clust_7
