,latitude,longitude,demanda,cluster,cluster_name
0,-12.0047292,-76.9847364,0,clust_2,1124
1,-12.0045616,-76.9954227,5,1,clust_2
2,-12.0011104,-76.9864759,30,1,clust_2
3,-12.0011079,-76.9839779,20,1,clust_2
4,-12.0023212,-76.9847343,21,1,clust_2
5,-12.0047292,-76.9847364,18,1,clust_2
6,-12.0039867,-76.9849793,40,1,clust_2
7,-12.0024173,-76.9853923,10,1,clust_2
8,-12.0024209,-76.985376,10,1,clust_2
9,-12.0019007,-76.9856227,15,1,clust_2
10,-12.0012944,-76.9857206,40,1,clust_2
11,-12.0026407,-76.9952361,1,1,clust_2
12,-12.0083426,-76.9920604,3,1,clust_2
13,-12.005023,-76.9928254,5,1,clust_2
14,-12.0042675,-76.9931452,2,1,clust_2
15,-12.0045628,-76.9944415,1,1,clust_2
16,-12.0120413,-76.9817448,4,1,clust_2
17,-12.0117046,-76.9792947,28,1,clust_2
18,-12.0079052,-76.9753473,30,1,clust_2
19,-12.0165022822964,-76.9878370481244,2,1,clust_2
20,-12.0233808763452,-76.9861732103552,15,1,clust_2
21,-12.0065308,-76.9922337,5,1,clust_2
22,-12.0105393,-76.9772307,20,1,clust_2
23,-12.0009736,-76.9857732,24,1,clust_2
24,-12.0019853,-76.9862953,60,1,clust_2
25,-12.0062821,-76.9923816,5,1,clust_2
26,-12.0021199,-76.9862103,60,1,clust_2
27,-12.0016717,-76.9967477,10,1,clust_2
28,-12.0016158,-76.9967671,10,1,clust_2
29,-12.0159568531427,-76.9886759664971,5,1,clust_2
30,-12.0086373,-76.9767988,45,1,clust_2
31,-12.0156054,-76.9885989,8,1,clust_2
32,-12.0111117,-76.9790913,5,1,clust_2
33,-12.0105127,-76.978773,60,1,clust_2
34,-12.0109694,-76.9780258,2,1,clust_2
35,-12.0012514,-76.9861437,50,1,clust_2
36,-12.012568744842,-76.9803836849304,300,1,clust_2
37,-12.0018677,-76.9969069,5,1,clust_2
38,-12.0114835,-76.9827027,20,1,clust_2
39,-12.00862,-76.9768,30,1,clust_2
40,-11.96299,-77.01987,30,1,clust_2
41,-12.0250021247305,-76.998718679023,70,1,clust_2
