,latitude,longitude,demanda,cluster,cluster_name
0,-12.05372358,-76.95144977,0,clust_5,1940
1,-12.0624891808369,-76.9583298918576,250,4,clust_5
2,-12.05906115,-76.95933983,40,4,clust_5
3,-12.0624476904162,-76.9580801111431,100,4,clust_5
4,-12.055557263095,-76.9559909217776,200,4,clust_5
5,-12.05358915,-76.95152923,80,4,clust_5
6,-12.0582943,-76.9438755,80,4,clust_5
7,-12.038805,-76.947609,0,4,clust_5
8,-12.0592355774828,-76.9592629653187,10,4,clust_5
9,-12.05869557,-76.9593918,40,4,clust_5
10,-12.05372358,-76.95144977,40,4,clust_5
11,-12.057772,-76.9441308,70,4,clust_5
12,-12.0596783,-76.9431,40,4,clust_5
13,-12.0625492371731,-76.94141672,70,4,clust_5
14,-12.0555261243247,-76.9559780974658,240,4,clust_5
15,-12.0527110701794,-76.9426219537854,50,4,clust_5
16,-12.0536383281218,-76.9517129659653,150,4,clust_5
17,-12.0551479,-76.95705224,30,4,clust_5
18,-12.0448083,-76.9347367,30,4,clust_5
19,-12.05894803,-76.9430035,80,4,clust_5
20,-12.06271565,-76.94132913,150,4,clust_5
21,-12.0535777,-76.9408926,80,4,clust_5
22,-12.0444377,-76.9346542,50,4,clust_5
23,-12.0625892,-76.9414064,60,4,clust_5
