,latitude,longitude,demanda,cluster,cluster_name
0,-12.1296540309849,-76.98809981346129,0,clust_1,2304.0
1,-12.117617677175,-77.0033224185006,40.0,0,clust_1
2,-12.139404650256,-76.989777199924,70.0,0,clust_1
3,-12.1151581334046,-76.99996443111941,50.0,0,clust_1
4,-12.1311874326782,-76.9875667244196,70.0,0,clust_1
5,-12.136818461672199,-76.9896015152335,50.0,0,clust_1
6,-12.136562791475198,-76.9897590950131,50.0,0,clust_1
7,-12.1359311539238,-76.9897966459394,40.0,0,clust_1
8,-12.1402637575366,-76.9986660405993,80.0,0,clust_1
9,-12.1302568378759,-77.0079444721341,90.0,0,clust_1
10,-12.1303341963559,-77.0076685398817,60.0,0,clust_1
11,-12.134840289073999,-77.0011789351702,30.0,0,clust_1
12,-12.116940804825099,-77.0011897822942,50.0,0,clust_1
13,-12.118898918956802,-77.003914140281,30.0,0,clust_1
14,-12.1153973278089,-77.0047579196042,50.0,0,clust_1
15,-12.116348279045,-77.000275936377,70.0,0,clust_1
16,-12.128818162730598,-76.995945610106,30.0,0,clust_1
17,-12.133198738840498,-76.99786975979801,20.0,0,clust_1
18,-12.1386428908533,-76.9883911684155,100.0,0,clust_1
19,-12.139290910931098,-76.9886023923755,44.0,0,clust_1
20,-12.1119845296894,-76.9700435176492,50.0,0,clust_1
21,-12.1106185308037,-76.97108320891859,50.0,0,clust_1
22,-12.1256759302358,-76.9830106571317,50.0,0,clust_1
23,-12.1255058041359,-76.9832272455096,60.0,0,clust_1
24,-12.1213929152828,-76.9882909208536,50.0,0,clust_1
25,-12.1209530058268,-76.98811724781991,40.0,0,clust_1
26,-12.1143329693202,-76.9734298065305,100.0,0,clust_1
27,-12.1137379938971,-76.973314806819,30.0,0,clust_1
28,-12.1383131440679,-76.9817838817835,55.0,0,clust_1
29,-12.1105631301735,-76.9711402058601,50.0,0,clust_1
30,-12.125566118603698,-76.9837499409914,35.0,0,clust_1
31,-12.1214034049182,-76.9938280060887,80.0,0,clust_1
32,-12.1085942695447,-76.9713779166341,50.0,0,clust_1
33,-12.1352388748254,-76.99760925024749,25.0,0,clust_1
34,-12.1296540309849,-76.98809981346129,40.0,0,clust_1
35,-12.1352841090259,-77.0041179656982,300.0,0,clust_1
36,-12.1358773974673,-77.0044311136007,80.0,0,clust_1
37,-12.133941174453799,-76.99872907251121,35.0,0,clust_1
38,-12.1324333560322,-76.9953582063317,25.0,0,clust_1
39,-12.13053743,-76.98732667,20.0,0,clust_1
40,-12.1395403507128,-76.9896363839507,55.0,0,clust_1
