,latitude,longitude,demanda,cluster,cluster_name
0,-12.0990075,-77.036104,0,clust_8,1012
1,-12.1008491568153,-77.0308465138078,20,7,clust_8
2,-12.0911282735856,-77.036468423903,20,7,clust_8
3,-12.1037484371928,-77.0361713692546,20,7,clust_8
4,-12.1025038501921,-77.0307034414446,45,7,clust_8
5,-12.1011247253158,-77.0540503040674,100,7,clust_8
6,-12.1031200001884,-77.0306493714452,30,7,clust_8
7,-12.1006773757606,-77.0308713242412,35,7,clust_8
8,-12.0985910794812,-77.0308394730091,30,7,clust_8
9,-12.0895049767681,-77.0473922231021,150,7,clust_8
10,-12.1004714,-77.0303379,9,7,clust_8
11,-12.0961552981362,-77.0315073430538,25,7,clust_8
12,-12.1033049,-77.0313276,21,7,clust_8
13,-12.0910028,-77.0356114,42,7,clust_8
14,-12.1032591,-77.0307201,65,7,clust_8
15,-12.1011107621025,-77.0308002457023,30,7,clust_8
16,-12.0972629,-77.0313743,14,7,clust_8
17,-12.0918812,-77.0515987,8,7,clust_8
18,-12.0961737,-77.0315519,18,7,clust_8
19,-12.1062205290335,-77.0563405522146,10,7,clust_8
20,-12.0976574672499,-77.0455623698207,70,7,clust_8
21,-12.0958796842873,-77.0526792986581,10,7,clust_8
22,-12.0969298,-77.0535526,25,7,clust_8
23,-12.0990075,-77.036104,50,7,clust_8
24,-12.0966984,-77.0535241,40,7,clust_8
25,-12.0896052,-77.049238,10,7,clust_8
26,-12.0913922,-77.0379104,15,7,clust_8
27,-12.1009689476454,-77.0549589023712,100,7,clust_8
