,latitude,longitude,demanda,cluster,cluster_name
0,-12.2234858,-76.9502555,0,clust_3,2040
1,-12.2245545,-76.9496316,50,2,clust_3
2,-12.2223132,-76.9461452,20,2,clust_3
3,-12.225943,-76.9572206,30,2,clust_3
4,-12.2244384,-76.9580274,20,2,clust_3
5,-12.2195529,-76.9446728,5,2,clust_3
6,-12.2216959,-76.9475159,20,2,clust_3
7,-12.221843,-76.9475059,30,2,clust_3
8,-12.2229351,-76.9487072,18,2,clust_3
9,-12.23089,-76.96677,128,2,clust_3
10,-12.2272784,-76.9579819,5,2,clust_3
11,-12.2256786,-76.9583803,35,2,clust_3
12,-12.2263805,-76.9586638,18,2,clust_3
13,-12.2253381,-76.9730975,8,2,clust_3
14,-12.2179632,-76.9437134,6,2,clust_3
15,-12.2234858,-76.9502555,20,2,clust_3
16,-12.22318,-76.97934,20,2,clust_3
17,-12.2276129,-76.9740993,90,2,clust_3
18,-12.2111389,-76.9462223,2,2,clust_3
19,-12.2268,-76.97345,200,2,clust_3
20,-12.2267816,-76.9606913,200,2,clust_3
21,-12.2270075,-76.9582957,60,2,clust_3
22,-12.2260989,-76.9574796,280,2,clust_3
23,-12.2245356,-76.9497021,20,2,clust_3
24,-12.2197176,-76.9449154,6,2,clust_3
25,-12.2361517,-76.961844,4,2,clust_3
26,-12.2300474,-76.975334,20,2,clust_3
27,-12.237469,-76.9576031,10,2,clust_3
28,-12.2383396,-76.9561046,10,2,clust_3
29,-12.2182451,-76.944125,3,2,clust_3
30,-12.2133189,-76.9425769,20,2,clust_3
31,-12.2117884,-76.9443781,50,2,clust_3
32,-12.2128509,-76.9414218,30,2,clust_3
33,-12.2123356,-76.9452283,5,2,clust_3
34,-12.226846,-76.9580354,110,2,clust_3
35,-12.2125413,-76.9471673,20,2,clust_3
36,-12.2158001,-76.9406103,2,2,clust_3
37,-12.2116222,-76.9396523,40,2,clust_3
38,-12.2126905,-76.941426,40,2,clust_3
39,-12.2127009,-76.9430744,150,2,clust_3
40,-12.2138046,-76.9355761,10,2,clust_3
41,-12.2248434,-76.9607608,35,2,clust_3
42,-12.2271259,-76.9607725,35,2,clust_3
43,-12.2270171,-76.9603377,20,2,clust_3
44,-12.2268143,-76.9594855,10,2,clust_3
45,-12.226019,-76.9573603,90,2,clust_3
46,-12.2139321,-76.9477714,15,2,clust_3
47,-12.2173573,-76.9407967,20,2,clust_3
