fulcrum_id,created_at,updated_at,created_by,updated_by,system_created_at,system_updated_at,version,status,project,assigned_to,latitude,longitude,geometry,venta_frutas,venta_verduras,superficie_bodega,num_personas,hora_apertura_semana,hora_cierre_semana,abre_fin_de_semana,horario_atencion_igual,hora_apertura_fin_de_semana,hora_cierre_fin_de_semana,num_entregas_general,num_recojos_general,num_lugares,num_entregas_fv,num_recojos_fv,lugar_principal,vehiculo_recojo,vehiculo_recojo_other,num_viajes_lugar_principal,cant_carga,cant_sku,cadena_frio,cant_merma,motivo_si_oferta,motivo_si_oferta_other,motivo_no_oferta,motivo_no_oferta_other
29344978-ed8d-4bb7-b973-81eadb7e5f6f,2019-06-02 17:41:30 UTC,2019-06-02 17:50:45 UTC,mj.herrerab@alum.up.edu.pe,mj.herrerab@alum.up.edu.pe,2019-06-03 22:26:14 UTC,2019-06-03 22:26:14 UTC,1,,,,-12.146917744551,-77.0223338530185,POINT (-77.0223338530185 -12.146917744551),1,1,2x4,1,07:00,21:00,yes,yes,07:00,21:00,0,5,1,0,2,Mercado de frutas,Carro particular,,2,20,15,0,2,Los clientes piden FyVs,,,
2a851bdf-6a0f-41f4-90a0-820092b70e3e,2019-06-02 17:52:21 UTC,2019-06-02 17:54:46 UTC,mj.herrerab@alum.up.edu.pe,mj.herrerab@alum.up.edu.pe,2019-06-03 22:26:15 UTC,2019-06-03 22:26:15 UTC,1,,,,-12.1463185642028,-77.0219939668449,POINT (-77.0219939668449 -12.1463185642028),1,1,5x5,6,07:30,21:30,yes,yes,07:30,21:30,4,3,2,0,1,Mercado de frutas,Carretilla,,1,25,15,0,2,Los clientes piden FyVs,,,
fedc2b08-3276-4908-84b3-d8a9cfb3a654,2019-06-02 17:57:08 UTC,2019-06-02 17:58:40 UTC,mj.herrerab@alum.up.edu.pe,mj.herrerab@alum.up.edu.pe,2019-06-03 22:26:15 UTC,2019-06-03 22:26:15 UTC,1,,,,-12.1458148956412,-77.0213584509464,POINT (-77.0213584509464 -12.1458148956412),1,1,8x3,2,08:00,20:00,yes,yes,08:00,20:00,0,0,1,0,1,Mercado Barranco,Transporte publico,,1,30,20,0,3,Es fácil adquirir FyVs,,,
e7b757c9-7ff4-4273-8d58-fc15caa82eff,2019-06-02 18:01:30 UTC,2019-06-02 18:03:36 UTC,mj.herrerab@alum.up.edu.pe,mj.herrerab@alum.up.edu.pe,2019-06-03 22:26:15 UTC,2019-06-03 22:26:15 UTC,1,,,,-12.1469915891179,-77.0206743200095,POINT (-77.0206743200095 -12.1469915891179),0,0,4x3,2,08:00,20:00,yes,yes,10:00,21:00,0,0,,,,,,,,,,,,,,Cercanía de otros locales que ofrecen FyVs,
00401e8b-21e9-4124-a6ce-b3fb7d586d27,2019-06-02 18:12:35 UTC,2019-06-02 18:14:45 UTC,mj.herrerab@alum.up.edu.pe,mj.herrerab@alum.up.edu.pe,2019-06-03 22:26:16 UTC,2019-06-03 22:26:16 UTC,1,,,,-12.1477501932645,-77.0215314534279,POINT (-77.0215314534279 -12.1477501932645),0,0,6x3,2,06:30,23:00,yes,no,07:00,23:00,3,0,,,,,,,,,,,,,,Las FyVs se malogran,
a5562a5f-3cbd-496e-8767-18066a6cdbf5,2019-06-02 18:26:37 UTC,2019-06-02 18:28:36 UTC,mj.herrerab@alum.up.edu.pe,mj.herrerab@alum.up.edu.pe,2019-06-03 22:26:16 UTC,2019-06-03 22:26:16 UTC,1,,,,-12.1482862997913,-77.0202900097491,POINT (-77.0202900097491 -12.1482862997913),0,0,4x4,3,08:00,23:00,yes,yes,08:00,23:00,0,4,,,,,,,,,,,,,,Cercanía de otros locales que ofrecen FyVs,
e30287e5-3dfc-4b49-9c20-b7ee17264d2a,2019-06-02 18:31:49 UTC,2019-06-02 18:35:25 UTC,mj.herrerab@alum.up.edu.pe,mj.herrerab@alum.up.edu.pe,2019-06-03 22:26:17 UTC,2019-06-03 22:26:17 UTC,1,,,,-12.1503868047261,-77.0204590727361,POINT (-77.0204590727361 -12.1503868047261),1,1,6x3,3,08:00,23:00,yes,yes,08:00,23:00,0,3,2,0,2,Mercado Barranco,Carro particular,,2,30,15,1,2,Los clientes piden FyVs,,,
8af556ed-2546-4205-9168-50702f39bd9a,2019-06-02 18:35:51 UTC,2019-06-02 18:37:23 UTC,mj.herrerab@alum.up.edu.pe,mj.herrerab@alum.up.edu.pe,2019-06-03 22:26:17 UTC,2019-06-03 22:26:17 UTC,1,,,,-12.1501630079114,-77.0205951948436,POINT (-77.0205951948436 -12.1501630079114),1,0,5x2,2,08:00,23:00,yes,yes,08:00,23:00,0,0,1,0,1,Mercado Barranco,Transporte publico,,1,20,18,0,2,Es fácil adquirir FyVs,,,
eead5511-8a93-41c0-a85c-ac6493371a8c,2019-06-02 19:58:37 UTC,2019-06-02 19:59:50 UTC,mj.herrerab@alum.up.edu.pe,mj.herrerab@alum.up.edu.pe,2019-06-03 22:26:17 UTC,2019-06-03 22:26:17 UTC,1,,,,-12.1463436405341,-77.0215855166316,POINT (-77.0215855166316 -12.1463436405341),0,0,3x3,2,08:00,22:00,yes,yes,08:00,22:00,0,0,,,,,,,,,,,,,,Las FyVs se malogran,
2a3c4ece-7244-48d1-8215-a2264afea5cb,2019-06-05 14:15:21 UTC,2019-06-05 14:23:51 UTC,mj.herrerab@alum.up.edu.pe,mj.herrerab@alum.up.edu.pe,2019-06-05 16:09:09 UTC,2019-06-05 16:09:09 UTC,1,,,,-12.1390650630476,-77.0246423305714,POINT (-77.0246423305714 -12.1390650630476),1,1,2x4,1,07:00,21:00,yes,yes,07:00,21:00,0,3,1,0,2,Mercado ,Carro particular,,2,25,20,0,0,Los clientes piden FyVs,,,
